new entry "Shout_RO_PlayDead"
type "SpellData"
data "SpellType" "Shout"
data "Cooldown" "OncePerShortRest"
data "SpellSchool" "Necromancy"
data "SpellProperties" "ApplyStatus(FEIGN_DEATH,100,4)"
data "TargetConditions" "Self()"
data "Icon" "Spell_Necromancy_FeignDeath"
data "DisplayName" "h2919e73bgf0e6g4ab3ga99ag8d9f0e1f0d11;1"
data "Description" "h7f9c6d47ga5f8g4666g8d8bg0e61f87f7c9a;1"
data "TooltipStatusApply" "ApplyStatus(FEIGN_DEATH,100,4)"
data "PrepareSound" "Spell_Prepare_Buff_Gen_L1to3_01"
data "PrepareLoopSound" "Spell_Prepare_Buff_Gen_L1to3_01_Loop"
data "CastSound" "Spell_Cast_Buff_FeignDeath_L1to3"
data "TargetSound" "Spell_Impact_Buff_FeignDeath_L1to3"
data "VocalComponentSound" "Vocal_Component_ResistDeath"
data "CastTextEvent" "Cast"
data "UseCosts" "ActionPoint:1;RO_MP:3"
data "SpellAnimation" "dd86aa43-8189-4d9f-9a5c-454b5fe4a197,,;,,;af94aac1-d8eb-4ccb-9520-694ade11b61c,,;f5db4001-b136-4c48-9aa4-026c4a7dd3b7,,;cc5b0caf-3ed1-4711-a50d-11dc3f1fdc6a,,;,,;1715b877-4512-472e-9bd0-fd568a112e90,,;54ae8856-36b2-4f70-8bd3-c2a760f93fd5,,;8ce3e582-e8bb-4d2f-9c5c-46c70c9b87c0,,"
data "VerbalIntent" "Utility"
data "SpellFlags" "HasVerbalComponent;HasSomaticComponent;IsSpell"
data "PrepareEffect" "33302a46-4a12-41dd-8845-6b7314d50022"
data "CastEffect" "bcd66fb0-b0bc-41d0-abba-ad443d63dd72"
data "TargetEffect" "4a3e84ac-6f7d-4759-8a94-5596071e2dcf"
data "Sheathing" "DontChange"
