new entry "Shout_MagicStone"
type "SpellData"
data "SpellType" "Shout"
data "Level" "0"
data "SpellSchool" "Transmutation"
data "SpellProperties" "ApplyStatus(MYSTRA_MAGIC_STONE,100,10);"
data "TargetConditions" "Self()"
data "Icon" "Spell_New_MagicStone"
data "DisplayName" "h10b54e36g9436gfb6dg0101gf846c0f4c1f8;1"
data "Description" "h22932a01g8858ge737gcfa8g974a940d126e;2"
data "DescriptionParams" "DealDamage(1d6+SpellCastingAbilityModifier, Bludgeoning)"
data "TooltipStatusApply" "ApplyStatus(MYSTRA_MAGIC_STONE,100,10);"
data "CastSound" "Spell_Cast_Buff_Shillelagh_L0"
data "TargetSound" "Spell_Impact_Buff_Shillelagh_L0"
data "VocalComponentSound" "Vocal_Component_EnchantWeapon"
data "CastTextEvent" "Cast"
data "UseCosts" "BonusActionPoint:1"
data "SpellAnimation" "8b8bb757-21ce-4e02-a2f3-97d55cf2f90b,,;,,;35b644cf-5c13-4407-9dc1-23bf4309216e,,;823e3ddf-c670-41ef-b7b4-9f4a4e38300b,,;7bb52cd4-0b1c-4926-9165-fa92b75876a3,,;,,;0b07883a-08b8-43b6-ac18-84dc9e84ff50,,;,,;,,"
data "VerbalIntent" "Buff"
data "SpellFlags" "HasVerbalComponent;IsMelee;HasSomaticComponent;IsSpell"
data "SpellAnimationIntentType" "Aggressive"
data "PrepareEffect" "e8109f4b-2439-4424-9bc8-743270220f47"
data "CastEffect" "53c9d361-0fc1-4d72-a70b-bc2611d538f0"
